NC_030599.1 Prunus pseudocerasus voucher PSEUDO20160226 chloroplast, complete genome
NC_031163.1 Malus prunifolia voucher MPRUN20160302 chloroplast, complete genome
NC_032038.1 Rosa roxburghii chloroplast, complete genome
NC_033975.1 Sorbus torminalis chloroplast, complete genome
NW_018923449.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002209.1, whole genome shotgun sequence
NW_018923441.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002201.1, whole genome shotgun sequence
NW_018923436.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002196.1, whole genome shotgun sequence
NW_018923429.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002189.1, whole genome shotgun sequence
NW_018923396.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002156.1, whole genome shotgun sequence
NW_018923386.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002146.1, whole genome shotgun sequence
NW_018923380.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002140.1, whole genome shotgun sequence
NW_018923374.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002134.1, whole genome shotgun sequence
NW_018923353.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002113.1, whole genome shotgun sequence
NW_018923339.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002099.1, whole genome shotgun sequence
NW_018923322.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002082.1, whole genome shotgun sequence
NW_018923320.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002080.1, whole genome shotgun sequence
NW_018923317.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002077.1, whole genome shotgun sequence
NW_018923313.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002073.1, whole genome shotgun sequence
NW_018923304.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002064.1, whole genome shotgun sequence
NW_018923302.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002062.1, whole genome shotgun sequence
NW_018923300.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002060.1, whole genome shotgun sequence
NW_018923296.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002056.1, whole genome shotgun sequence
NW_018923273.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002033.1, whole genome shotgun sequence
NW_018923260.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002020.1, whole genome shotgun sequence
NW_018923257.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002017.1, whole genome shotgun sequence
NW_018923225.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001985.1, whole genome shotgun sequence
NW_018923214.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001974.1, whole genome shotgun sequence
NW_018923202.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001962.1, whole genome shotgun sequence
NW_018923175.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001935.1, whole genome shotgun sequence
NW_018923159.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001919.1, whole genome shotgun sequence
NW_018923155.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001915.1, whole genome shotgun sequence
NW_018923150.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001910.1, whole genome shotgun sequence
NW_018923145.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001905.1, whole genome shotgun sequence
NW_018923140.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001900.1, whole genome shotgun sequence
NW_018923133.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001893.1, whole genome shotgun sequence
NW_018923127.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001887.1, whole genome shotgun sequence
NW_018923092.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001852.1, whole genome shotgun sequence
NW_018923075.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001835.1, whole genome shotgun sequence
NW_018923072.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001832.1, whole genome shotgun sequence
NW_018923071.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001831.1, whole genome shotgun sequence
NW_018923062.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001822.1, whole genome shotgun sequence
NW_018923061.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001821.1, whole genome shotgun sequence
NW_018923057.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001817.1, whole genome shotgun sequence
NW_018923056.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001816.1, whole genome shotgun sequence
NW_018923047.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001807.1, whole genome shotgun sequence
NW_018923032.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001792.1, whole genome shotgun sequence
NW_018923020.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001780.1, whole genome shotgun sequence
NW_018923013.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001773.1, whole genome shotgun sequence
NW_018923001.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001761.1, whole genome shotgun sequence
NW_018923000.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001760.1, whole genome shotgun sequence
NW_018922976.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001736.1, whole genome shotgun sequence
NW_018922975.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001735.1, whole genome shotgun sequence
NW_018922969.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001729.1, whole genome shotgun sequence
NW_018922964.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001724.1, whole genome shotgun sequence
NW_018922963.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001723.1, whole genome shotgun sequence
NW_018922950.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001710.1, whole genome shotgun sequence
NW_018922943.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001703.1, whole genome shotgun sequence
NW_018922940.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001700.1, whole genome shotgun sequence
NW_018922936.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001696.1, whole genome shotgun sequence
NW_018922935.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001695.1, whole genome shotgun sequence
NW_018922927.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001687.1, whole genome shotgun sequence
NW_018922918.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001678.1, whole genome shotgun sequence
NW_018922916.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001676.1, whole genome shotgun sequence
NW_018922915.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001675.1, whole genome shotgun sequence
NW_018922898.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001658.1, whole genome shotgun sequence
NW_018922897.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001657.1, whole genome shotgun sequence
NW_018922896.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001656.1, whole genome shotgun sequence
NW_018922891.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001651.1, whole genome shotgun sequence
NW_018922889.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001649.1, whole genome shotgun sequence
NW_018922879.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001639.1, whole genome shotgun sequence
NW_018922877.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001637.1, whole genome shotgun sequence
NW_018922868.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001628.1, whole genome shotgun sequence
NW_018922867.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001627.1, whole genome shotgun sequence
NW_018922855.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001615.1, whole genome shotgun sequence
NW_018922834.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001594.1, whole genome shotgun sequence
NW_018922814.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001574.1, whole genome shotgun sequence
NW_018922801.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001561.1, whole genome shotgun sequence
NW_018922799.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001559.1, whole genome shotgun sequence
NW_018922797.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001557.1, whole genome shotgun sequence
NW_018922776.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001536.1, whole genome shotgun sequence
NW_018922766.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001526.1, whole genome shotgun sequence
NW_018922753.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001513.1, whole genome shotgun sequence
NW_018922739.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001499.1, whole genome shotgun sequence
NW_018922732.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001492.1, whole genome shotgun sequence
NW_018922731.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001491.1, whole genome shotgun sequence
NW_018922724.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001484.1, whole genome shotgun sequence
NW_018922718.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001478.1, whole genome shotgun sequence
NW_018922713.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001473.1, whole genome shotgun sequence
NW_018922707.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001467.1, whole genome shotgun sequence
NW_018922699.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001459.1, whole genome shotgun sequence
NW_018922693.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001453.1, whole genome shotgun sequence
NW_018922681.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001441.1, whole genome shotgun sequence
NW_018922678.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001438.1, whole genome shotgun sequence
NW_018922677.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001437.1, whole genome shotgun sequence
NW_018922675.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001435.1, whole genome shotgun sequence
NW_018922672.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001432.1, whole genome shotgun sequence
NW_018922668.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001428.1, whole genome shotgun sequence
NW_018922667.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001427.1, whole genome shotgun sequence
NW_018922665.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001425.1, whole genome shotgun sequence
NW_018922662.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001422.1, whole genome shotgun sequence
NW_018922646.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001406.1, whole genome shotgun sequence
NW_018922645.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001405.1, whole genome shotgun sequence
NW_018922642.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001402.1, whole genome shotgun sequence
NW_018922641.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001401.1, whole genome shotgun sequence
NW_018922639.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001399.1, whole genome shotgun sequence
NW_018922629.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001389.1, whole genome shotgun sequence
NW_018922625.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001385.1, whole genome shotgun sequence
NW_018922623.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001383.1, whole genome shotgun sequence
NW_018922622.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001382.1, whole genome shotgun sequence
NW_018922620.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001380.1, whole genome shotgun sequence
NW_018922618.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001378.1, whole genome shotgun sequence
NW_018922611.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001371.1, whole genome shotgun sequence
NW_018922608.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001368.1, whole genome shotgun sequence
NW_018922602.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001362.1, whole genome shotgun sequence
NW_018922599.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001359.1, whole genome shotgun sequence
NW_018922594.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001354.1, whole genome shotgun sequence
NW_018922578.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001338.1, whole genome shotgun sequence
NW_018922569.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001329.1, whole genome shotgun sequence
NW_018922564.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001324.1, whole genome shotgun sequence
NW_018922559.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001319.1, whole genome shotgun sequence
NW_018922558.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001318.1, whole genome shotgun sequence
NW_018922553.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001313.1, whole genome shotgun sequence
NW_018922552.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001312.1, whole genome shotgun sequence
NW_018922551.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001311.1, whole genome shotgun sequence
NW_018922549.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001309.1, whole genome shotgun sequence
NW_018922542.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001302.1, whole genome shotgun sequence
NW_018922535.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001295.1, whole genome shotgun sequence
NW_018922530.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001290.1, whole genome shotgun sequence
NW_018922515.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001275.1, whole genome shotgun sequence
NW_018922503.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001263.1, whole genome shotgun sequence
NW_018922501.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001261.1, whole genome shotgun sequence
NW_018922500.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001260.1, whole genome shotgun sequence
NW_018922494.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001254.1, whole genome shotgun sequence
NW_018922492.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001252.1, whole genome shotgun sequence
NW_018922478.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001238.1, whole genome shotgun sequence
NW_018922471.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001231.1, whole genome shotgun sequence
NW_018922470.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001230.1, whole genome shotgun sequence
NW_018922468.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001228.1, whole genome shotgun sequence
NW_018922465.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001225.1, whole genome shotgun sequence
NW_018922455.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001215.1, whole genome shotgun sequence
NW_018922452.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001212.1, whole genome shotgun sequence
NW_018922447.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001207.1, whole genome shotgun sequence
NW_018922444.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001204.1, whole genome shotgun sequence
NW_018922442.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001202.1, whole genome shotgun sequence
NW_018922441.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001201.1, whole genome shotgun sequence
NW_018922436.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001196.1, whole genome shotgun sequence
NW_018922435.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001195.1, whole genome shotgun sequence
NW_018922426.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001186.1, whole genome shotgun sequence
NW_018922422.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001182.1, whole genome shotgun sequence
NW_018922420.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001180.1, whole genome shotgun sequence
NW_018922415.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001175.1, whole genome shotgun sequence
NW_018922414.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001174.1, whole genome shotgun sequence
NW_018922411.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001171.1, whole genome shotgun sequence
NW_018922410.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001170.1, whole genome shotgun sequence
NW_018922404.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001164.1, whole genome shotgun sequence
NW_018922396.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001156.1, whole genome shotgun sequence
NW_018922394.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01001154.1, whole genome shotgun sequence
